x,y_class
3.8226926,1.0
4.1500397,1.0
-1.1713624,0.0
4.5930567,1.0
-1.0955179,1.0
1.0089535,0.0
-2.4342752,0.0
2.9364133,1.0
4.407715,1.0
-3.668141,0.0
4.3459806,1.0
0.9357965,1.0
3.6940444,1.0
0.6771529,1.0
2.4109406,0.0
-0.705955,0.0
3.8544292,1.0
0.73904455,0.0
-2.3341994,0.0
1.2744915,1.0
-2.3036833,0.0
-0.58636427,0.0
-2.0307918,0.0
3.316855,1.0
-3.9468508,0.0
-2.3050518,0.0
-1.4118737,0.0
-3.0063624,1.0
0.4719156,1.0
-4.9383955,0.0
4.5155454,1.0
-4.247341,0.0
3.860137,1.0
0.83209574,1.0
-1.6235226,0.0
3.0897498,1.0
0.77925384,1.0
4.039817,1.0
0.54659843,1.0
-1.5768659,0.0
1.3434184,1.0
-1.3558972,0.0
2.1042876,1.0
4.464111,1.0
2.890298,1.0
-2.1858625,0.0
2.8863235,1.0
0.89463115,1.0
2.539175,1.0
-3.0475254,0.0
-4.949542,0.0
-1.9318026,0.0
-3.8351142,0.0
4.1026945,1.0
1.4401567,1.0
2.0710678,1.0
1.5813059,1.0
-0.086979866,1.0
3.9130414,1.0
-3.552568,0.0
0.31481862,1.0
-3.412701,0.0
1.54176,1.0
-1.7219114,0.0
1.5320814,1.0
-1.0417074,0.0
4.1469593,1.0
-2.9635096,0.0
-2.9819899,0.0
-2.98217,0.0
4.497214,1.0
1.6662556,1.0
4.8112535,1.0
-4.1263814,0.0
-4.9593806,0.0
-3.911819,0.0
-3.3634453,0.0
2.0252008,1.0
1.7903793,1.0
4.154622,1.0
-2.5821269,0.0
-3.4085588,0.0
2.6528907,1.0
-2.0210223,0.0
3.034619,1.0
-1.1865032,0.0
2.8602295,1.0
-3.88484,0.0
-2.5232487,0.0
1.5243822,1.0
1.0570377,1.0
-1.2747937,0.0
2.9803472,1.0
3.399046,1.0
-3.625867,0.0
-2.669341,0.0
4.5783095,1.0
-1.6871625,0.0
-1.7725819,0.0
-4.837973,0.0
-2.863351,0.0
1.2490183,1.0
-0.6599659,0.0
-3.6294298,0.0
0.11728346,1.0
-3.4154077,0.0
-4.2419834,0.0
-2.753313,0.0
-4.3760605,0.0
-3.1836903,0.0
4.9980445,1.0
0.9443748,1.0
1.5407985,0.0
-4.6634216,0.0
-3.283869,0.0
-1.6642791,0.0
0.7818556,1.0
-4.3996067,0.0
-2.154365,0.0
-2.9933429,0.0
0.013856292,1.0
-1.8605161,0.0
-0.34647882,1.0
-3.3881485,0.0
-3.4319758,0.0
-2.9170089,0.0
-1.7114872,0.0
-3.9464045,0.0
4.1923494,1.0
-0.9923202,0.0
4.301984,1.0
1.5579104,1.0
-4.233985,0.0
3.460176,1.0
-1.3757241,1.0
-1.9166303,0.0
-4.1503525,0.0
-4.9708033,0.0
1.4305532,1.0
-1.0922194,0.0
1.9466156,1.0
-4.1033173,0.0
3.7121458,1.0
-3.6702685,0.0
-0.8633667,0.0
1.0443485,1.0
2.581259,1.0
4.0365515,1.0
4.554796,1.0
-3.9646106,0.0
1.2583363,1.0
-2.1506298,1.0
-0.54792404,1.0
-3.7424505,0.0
4.554293,1.0
-3.6697526,0.0
2.6722562,1.0
1.757198,0.0
1.6247797,1.0
-2.7032309,0.0
4.544758,1.0
1.098752,1.0
0.6432003,1.0
-4.406274,0.0
2.0989423,1.0
-0.750103,1.0
-2.2906213,0.0
4.294733,1.0
1.114744,0.0
-2.7663822,0.0
-2.5306945,0.0
-0.23877859,0.0
2.7918065,1.0
-1.2776691,0.0
-2.8528743,0.0
-1.7122144,0.0
-3.7353742,0.0
1.7831624,1.0
3.870201,1.0
-4.707202,0.0
1.1612535,1.0
2.582959,1.0
0.90664685,1.0
-1.7806232,0.0
2.6097107,1.0
2.6275659,1.0
1.8696362,1.0
-0.87860703,0.0
-1.3240063,0.0
0.5349046,0.0
-0.8832705,0.0
-1.4900053,0.0
3.1960344,1.0
4.296998,1.0
-0.49498677,0.0
-1.1194843,0.0
0.07296145,0.0
-0.2985412,0.0
1.2020564,1.0
1.4011681,1.0
-4.5412836,0.0
-1.8451887,0.0
4.2106476,1.0
1.9477749,1.0
-0.24868786,0.0
-3.0145288,0.0
-3.0590253,0.0
-4.478834,0.0
-1.6298121,0.0
1.6885209,1.0
3.1881082,1.0
2.3084867,1.0
-4.41972,0.0
-3.0068123,0.0
-0.78908324,1.0
4.8367476,1.0
0.72328746,0.0
-1.2948537,1.0
2.0685763,1.0
-1.9044077,0.0
-3.2362783,0.0
3.6494362,1.0
-2.273509,0.0
-1.0023338,0.0
-4.9740214,0.0
3.346353,1.0
3.7881732,1.0
1.822241,1.0
-3.486371,0.0
-4.9346995,0.0
-4.060895,0.0
3.7285013,1.0
2.400529,1.0
4.2075224,1.0
2.6193495,1.0
1.2654608,1.0
-0.048963428,1.0
-3.8025303,0.0
-4.283861,0.0
-4.676743,0.0
2.0468097,1.0
-2.45484,0.0
-1.0062629,0.0
-2.8775263,0.0
-0.9111178,0.0
-3.5191746,0.0
-3.2670784,0.0
1.6585541,1.0
-1.485982,0.0
3.086716,1.0
-1.6040438,0.0
-3.6678362,0.0
-0.88219464,0.0
-2.423737,0.0
-1.5297079,0.0
-4.7599783,0.0
2.7974546,1.0
-3.4810228,0.0
2.5130887,1.0
2.2689211,0.0
3.5721636,1.0
-3.8352604,0.0
3.595984,1.0
-2.363758,0.0
1.855346,1.0
4.6955733,1.0
-0.7051593,1.0
-0.03866732,1.0
-1.1511528,1.0
-4.174923,0.0
2.3995142,1.0
-4.963589,0.0
3.1039996,1.0
3.7411256,1.0
4.728532,1.0
-1.1793977,0.0
-4.1082096,0.0
1.1241513,1.0
2.7621365,1.0
-4.976544,0.0
-1.1349183,0.0
-2.9972773,0.0
-0.43731868,0.0
-2.4610674,0.0
-2.043838,0.0
-1.5872943,0.0
-4.75152,0.0
4.1025376,1.0
4.191656,1.0
-0.78434527,0.0
-0.5694103,0.0
-2.0405996,0.0
-4.515314,0.0
-4.865722,0.0
1.8582922,1.0
-2.7452307,0.0
-3.214385,0.0
-0.39011598,1.0
-1.6650558,0.0
-1.6176039,0.0
